Paper,Sex,Age,ctrl_mean,ctrl_sd,ctrl_n,treat_mean,treat_sd,treat_n
ashpole,female,1,465,119.058809,7,380,52.91502622,7
ashpole,female,2.25,465,119.058809,7,290,26.45751311,7
ashpole,male,1,480,132.2875656,7,280,39.68626967,7
ashpole,male,2.25,480,132.2875656,7,300,13.22875656,7
courtland,male,1.538461538,135,20,13,150,25,13
courtland,male,2,135,20,13,145,20,13
greer,male,4.166666667,110,191.7028951,30,100,191.7028951,30
greer,male,8.333333333,110,191.7028951,30,85,191.7028951,30
greer,male,12.5,110,191.7028951,30,65,191.7028951,30
greer,male,16.66666667,110,191.7028951,30,50,191.7028951,30
greer,female,4.166666667,105,116.2755348,20,95,116.2755348,20
greer,female,8.333333333,105,116.2755348,20,85,116.2755348,20
greer,female,12.5,105,116.2755348,20,40,116.2755348,20
greer,female,16.66666667,105,116.2755348,20,10,116.2755348,20
quipildor,mixed,0.25,575,289.7505805,6,500,196.1504525,19
quipildor,mixed,0.25,575,289.7505805,6,540,130.7669683,19
sherlala,male,70.6,128.3,52.9,4241,134.6,54,1924
sherlala,female,69.5,128.3,52.9,4241,123.2,51.6,2317
sherlala,male,54,249.5,101.9,2555,264.7,97.6,1155
sherlala,female,52.6,249.5,101.9,2555,236.9,103.6,1400
wennberg,mixed,54.5,118,595.1565056,1618,143,923.5187156,1618
wennberg,mixed,64.5,118,595.1565056,1618,135,1026.131906,1618
wennberg,mixed,74.5,118,595.1565056,1618,133,1026.131906,1618
wennberg,mixed,80,118,595.1565056,1618,125,820.9055249,1618
willis,male,5,165,90.35623941,113,160,90.35623941,113
willis,male,10,165,90.35623941,113,155,90.35623941,113
willis,male,15,165,90.35623941,113,150,90.35623941,113
willis,male,20,165,90.35623941,113,145,90.35623941,113
willis,male,25,165,90.35623941,113,140,90.35623941,113
willis,female,5,125,90.35623941,113,120,90.35623941,113
willis,female,10,125,90.35623941,113,110,90.35623941,113
willis,female,15,125,90.35623941,113,100,90.35623941,113
willis,female,20,125,90.35623941,113,95,90.35623941,113
willis,female,25,125,90.35623941,113,90,90.35623941,113
